"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Disease_effect",-0.433626516289954,0.239534794967087,Inf,-0.903106087469631,0.0358530548897222,-1.81028612711375,0.070251427269967,"Endothelial","Parenchyma",0.533333333333333,0.170082402864131
"Amyloid_effect",0.14431281409891,0.189844596657308,Inf,-0.227775758008947,0.516401386206766,0.760162873423318,0.447157234157246,"Endothelial","Parenchyma",0.533333333333333,0.623310083976768
"AD_overall_vs_Control",-0.356659682103869,0.216991223998039,Inf,-0.78195466610129,0.0686353018935514,-1.64365947862984,0.100246560512849,"Endothelial","Parenchyma",0.533333333333333,0.24270219913637
"Disease_effect",0.00375513414900132,0.207594956912301,Inf,-0.403123504771254,0.410633773069256,0.0180887542012289,0.985568049332634,"ExNeuron1","Parenchyma",0.533333333333333,0.985568049332634
"Amyloid_effect",0.0806484181593325,0.169534429028939,Inf,-0.25163295687695,0.412929793195615,0.475705251265311,0.634284379268012,"ExNeuron1","Parenchyma",0.533333333333333,0.76781793279812
"AD_overall_vs_Control",0.0467676238339787,0.19310497931017,Inf,-0.331711180849307,0.425246428517265,0.242187560367665,0.808634833566386,"ExNeuron1","Parenchyma",0.533333333333333,0.885647674858422
"Disease_effect",-0.702064801029093,0.273534773165906,Inf,-1.2381831049536,-0.165946497104584,-2.56663821167363,0.0102689692065497,"ExNeuron10","Parenchyma",0.533333333333333,0.0342217162693472
"Amyloid_effect",0.266181763036051,0.214634001786686,Inf,-0.154493150323559,0.686856676395661,1.24016586757114,0.214914050262935,"ExNeuron10","Parenchyma",0.533333333333333,0.411918596337291
"AD_overall_vs_Control",-0.560101194076533,0.24527168110757,Inf,-1.04082485547496,-0.0793775326781032,-2.28359503856007,0.0223953416426835,"ExNeuron10","Parenchyma",0.533333333333333,0.0761956192622175
"Disease_effect",-0.719900421751414,0.254327108759359,Inf,-1.21837239521196,-0.22142844829087,-2.83060828734768,0.00464595812813761,"ExNeuron11","Parenchyma",0.533333333333333,0.0211125043425942
"Amyloid_effect",0.661677181066854,0.211518738127673,Inf,0.247108072281256,1.07624628985245,3.1282201611257,0.00175868392298682,"ExNeuron11","Parenchyma",0.533333333333333,0.0269664868191312
"AD_overall_vs_Control",-0.367005925182426,0.2203137695138,Inf,-0.798812978727733,0.0648011283628815,-1.66583289819948,0.0957467016387062,"ExNeuron11","Parenchyma",0.533333333333333,0.24270219913637
"Disease_effect",-0.19737367092514,0.32084224148672,Inf,-0.826212908958213,0.431465567107933,-0.615173581915365,0.538440092392871,"ExNeuron12","Parenchyma",0.533333333333333,0.807631548276521
"Amyloid_effect",-0.439260686165757,0.272220206833066,Inf,-0.972802487422611,0.0942811150910973,-1.61362263028154,0.106609305124874,"ExNeuron12","Parenchyma",0.533333333333333,0.276050150092667
"AD_overall_vs_Control",-0.43164603688021,0.282219683485458,Inf,-0.984786452240001,0.121494378479581,-1.5294682197546,0.12614841169777,"ExNeuron12","Parenchyma",0.533333333333333,0.275881069994199
"Disease_effect",-0.0506267284804176,0.233740140595685,Inf,-0.508748985789289,0.407495528828453,-0.216594070455318,0.828524707143454,"ExNeuron13","Parenchyma",0.533333333333333,0.90976015040761
"Amyloid_effect",-0.275453631139999,0.203487204380066,Inf,-0.674281223039669,0.123373960759671,-1.35366561243584,0.175843083750518,"ExNeuron13","Parenchyma",0.533333333333333,0.410587573922212
"AD_overall_vs_Control",-0.197535331755084,0.213570525465652,Inf,-0.616125869827057,0.221055206316889,-0.9249185079467,0.355008298585125,"ExNeuron13","Parenchyma",0.533333333333333,0.510324429216117
"Disease_effect",-0.0593594753265728,0.311653564313836,Inf,-0.670189237035228,0.551470286382083,-0.190466216734161,0.848943813723361,"ExNeuron14","Parenchyma",0.533333333333333,0.90976015040761
"Amyloid_effect",0.294709503024255,0.257040698842977,Inf,-0.209081009268987,0.798500015317497,1.14654801496742,0.251568472089397,"ExNeuron14","Parenchyma",0.533333333333333,0.436854043877525
"AD_overall_vs_Control",0.0978189262863632,0.279581925446366,Inf,-0.450151578316877,0.645789430889603,0.349875715785956,0.7264319725804,"ExNeuron14","Parenchyma",0.533333333333333,0.83539676846746
"Disease_effect",-0.0583062217414531,0.193740822084763,Inf,-0.438031255362771,0.321418811879864,-0.300949593968088,0.763452931755507,"ExNeuron2","Parenchyma",0.533333333333333,0.900482945147522
